,Metric,Condition,participant1,participant2,r
0,roughness,walking,PPT_001,PPT_002,0.7518472012982064
0,roughness,walking,PPT_001,PPT_003,0.7481632930773177
0,roughness,walking,PPT_001,PPT_004,0.6552643736781514
0,roughness,walking,PPT_001,PPT_005,0.8449049099068254
0,roughness,walking,PPT_001,PPT_006,0.8128733801125614
0,roughness,walking,PPT_001,PPT_007,0.7955656403455522
0,roughness,walking,PPT_001,PPT_008,0.4196165191740412
0,roughness,walking,PPT_001,PPT_009,0.7584941804845364
0,roughness,walking,PPT_001,PPT_010,0.9193253190228573
0,roughness,walking,PPT_001,PPT_011,0.7196572526615953
0,roughness,walking,PPT_001,PPT_012,0.6822264287538536
0,roughness,walking,PPT_001,PPT_013,0.5478205703229758
0,roughness,walking,PPT_001,PPT_014,0.834686574171563
0,roughness,walking,PPT_001,PPT_015,0.8295205211041882
0,roughness,walking,PPT_001,PPT_016,0.6671626832225026
0,roughness,walking,PPT_001,PPT_017,0.7597643919990439
0,roughness,walking,PPT_001,PPT_018,0.6363652006774372
0,roughness,walking,PPT_001,PPT_019,0.9121132550130501
0,roughness,walking,PPT_001,PPT_020,0.9388359218300504
0,roughness,walking,PPT_002,PPT_003,0.8832001702096348
0,roughness,walking,PPT_002,PPT_004,0.7506226595248875
0,roughness,walking,PPT_002,PPT_005,0.8409763313609467
0,roughness,walking,PPT_002,PPT_006,0.751852676930688
0,roughness,walking,PPT_002,PPT_007,0.8667357690951869
0,roughness,walking,PPT_002,PPT_008,0.4497789249416579
0,roughness,walking,PPT_002,PPT_009,0.6804733727810651
0,roughness,walking,PPT_002,PPT_010,0.8043014699745136
0,roughness,walking,PPT_002,PPT_011,0.5250434164217058
0,roughness,walking,PPT_002,PPT_012,0.41238106107686817
0,roughness,walking,PPT_002,PPT_013,0.4662244443373182
0,roughness,walking,PPT_002,PPT_014,0.5794532255258509
0,roughness,walking,PPT_002,PPT_015,0.7390985019462384
0,roughness,walking,PPT_002,PPT_016,0.5607413560951042
0,roughness,walking,PPT_002,PPT_017,0.7025847478303616
0,roughness,walking,PPT_002,PPT_018,0.5011104259504828
0,roughness,walking,PPT_002,PPT_019,0.7788461538461539
0,roughness,walking,PPT_002,PPT_020,0.7416992348419258
0,roughness,walking,PPT_003,PPT_004,0.6804979419860703
0,roughness,walking,PPT_003,PPT_005,0.8735273798029582
0,roughness,walking,PPT_003,PPT_006,0.8166996678820265
0,roughness,walking,PPT_003,PPT_007,0.898127592792077
0,roughness,walking,PPT_003,PPT_008,0.37519609037144536
0,roughness,walking,PPT_003,PPT_009,0.8236753061685474
0,roughness,walking,PPT_003,PPT_010,0.8478806140667179
0,roughness,walking,PPT_003,PPT_011,0.5717545977573938
0,roughness,walking,PPT_003,PPT_012,0.47211922148588054
0,roughness,walking,PPT_003,PPT_013,0.6669172825414714
0,roughness,walking,PPT_003,PPT_014,0.6832866728873443
0,roughness,walking,PPT_003,PPT_015,0.8260407982348635
0,roughness,walking,PPT_003,PPT_016,0.7317509797994071
0,roughness,walking,PPT_003,PPT_017,0.7921570750046338
0,roughness,walking,PPT_003,PPT_018,0.6076031901879275
0,roughness,walking,PPT_003,PPT_019,0.7686148069305415
0,roughness,walking,PPT_003,PPT_020,0.7082641514099539
0,roughness,walking,PPT_004,PPT_005,0.6547347349548419
0,roughness,walking,PPT_004,PPT_006,0.5356678242355309
0,roughness,walking,PPT_004,PPT_007,0.8552191847371805
0,roughness,walking,PPT_004,PPT_008,0.6530203176039111
0,roughness,walking,PPT_004,PPT_009,0.7116681901683065
0,roughness,walking,PPT_004,PPT_010,0.6892272599947924
0,roughness,walking,PPT_004,PPT_011,0.30030394650123854
0,roughness,walking,PPT_004,PPT_012,0.3237531058939802
0,roughness,walking,PPT_004,PPT_013,0.5421273299577013
0,roughness,walking,PPT_004,PPT_014,0.4798339716326973
0,roughness,walking,PPT_004,PPT_015,0.6594909968929895
0,roughness,walking,PPT_004,PPT_016,0.6046894486468318
0,roughness,walking,PPT_004,PPT_017,0.6772057041985327
0,roughness,walking,PPT_004,PPT_018,0.45055714649552653
0,roughness,walking,PPT_004,PPT_019,0.653236486133435
0,roughness,walking,PPT_004,PPT_020,0.5635906191674322
