,Metric,covariate1,covariate2,mean r,std r
0,roughness,walking,walking,1.0,1.6108808733817073e-16
0,roughness,walking,sitting,0.7159979464253665,0.13723800270902894
0,roughness,walking,hand,0.6799746330922296,0.15498098632998242
0,roughness,sitting,walking,0.7159979464253665,0.13723800270902897
0,roughness,sitting,sitting,1.0,7.204078273071459e-17
0,roughness,sitting,hand,0.7374040575325286,0.21879613435892353
0,roughness,hand,walking,0.6799746330922296,0.1549809863299824
0,roughness,hand,sitting,0.7374040575325285,0.21879613435892353
0,roughness,hand,hand,1.0,7.401486830834377e-17
0,hardness,walking,walking,1.0,8.823157918047844e-17
0,hardness,walking,sitting,0.8333653808163554,0.09063612038053942
0,hardness,walking,hand,0.8055046406792897,0.08594673742482568
0,hardness,sitting,walking,0.8333653808163554,0.09063612038053939
0,hardness,sitting,sitting,1.0,1.0188105198175002e-16
0,hardness,sitting,hand,0.8697721230906948,0.07700821064257668
0,hardness,hand,walking,0.8055046406792897,0.08594673742482568
0,hardness,hand,sitting,0.8697721230906951,0.0770082106425767
0,hardness,hand,hand,1.0,9.064933036736789e-17
0,slipperiness,walking,walking,1.0,8.823157918047844e-17
0,slipperiness,walking,sitting,0.7204050468367386,0.17035337282829024
0,slipperiness,walking,hand,0.7285738148147963,0.1450385975506857
0,slipperiness,sitting,walking,0.7204050468367387,0.1703533728282903
0,slipperiness,sitting,sitting,1.0,5.094052599087501e-17
0,slipperiness,sitting,hand,0.8003191557022546,0.12619174258493945
0,slipperiness,hand,walking,0.7285738148147963,0.1450385975506857
0,slipperiness,hand,sitting,0.8003191557022546,0.12619174258493945
0,slipperiness,hand,hand,1.0,1.0467283057891834e-16
