,Condition,covariate1,covariate2,mean r,std r
0,walking,roughness,roughness,1.0,1.6108808733817073e-16
0,walking,roughness,hardness,0.25802112990032233,0.28375313367757643
0,walking,roughness,slipperiness,0.6468871638239067,0.19620673957721138
0,walking,roughness,stability,-0.005852864106353379,0.38907840227312307
0,walking,hardness,roughness,0.25802112990032233,0.2837531336775764
0,walking,hardness,hardness,1.0,8.823157918047844e-17
0,walking,hardness,slipperiness,0.17438978067068078,0.36244444918280394
0,walking,hardness,stability,0.4402545326480879,0.322097953145734
0,walking,slipperiness,roughness,0.6468871638239067,0.19620673957721138
0,walking,slipperiness,hardness,0.17438978067068078,0.36244444918280394
0,walking,slipperiness,slipperiness,1.0,8.823157918047844e-17
0,walking,slipperiness,stability,0.026985045725609957,0.3268985518671069
0,walking,stability,roughness,-0.005852864106353379,0.38907840227312307
0,walking,stability,hardness,0.4402545326480879,0.322097953145734
0,walking,stability,slipperiness,0.02698504572560993,0.3268985518671069
0,walking,stability,stability,1.0,1.1390647892519134e-16
0,sitting,roughness,roughness,1.0,7.204078273071459e-17
0,sitting,roughness,hardness,0.33686056050256774,0.3323371692239859
0,sitting,roughness,slipperiness,0.7252265048733025,0.1684443832163528
0,sitting,hardness,roughness,0.33686056050256774,0.3323371692239859
0,sitting,hardness,hardness,1.0,1.0188105198175002e-16
0,sitting,hardness,slipperiness,0.3291106251329603,0.38409767308755854
0,sitting,slipperiness,roughness,0.7252265048733025,0.1684443832163528
0,sitting,slipperiness,hardness,0.3291106251329603,0.38409767308755854
0,sitting,slipperiness,slipperiness,1.0,5.094052599087501e-17
0,hand,roughness,roughness,1.0,7.401486830834377e-17
0,hand,roughness,hardness,0.26075052449435193,0.3487293148160763
0,hand,roughness,slipperiness,0.7298740035245774,0.19614089761381717
0,hand,hardness,roughness,0.26075052449435193,0.3487293148160762
0,hand,hardness,hardness,1.0,9.064933036736789e-17
0,hand,hardness,slipperiness,0.12207692175860287,0.3099192085854574
0,hand,slipperiness,roughness,0.7298740035245774,0.1961408976138172
0,hand,slipperiness,hardness,0.12207692175860287,0.3099192085854574
0,hand,slipperiness,slipperiness,1.0,1.0467283057891834e-16
