,Metric,covariate1,covariate2,participant,r,p
0,roughness,walking,walking,PPT_001,1.0,0.0
0,roughness,walking,sitting,PPT_001,0.871871343190536,1.0762356401923591e-05
0,roughness,walking,hand,PPT_001,0.7302875969651333,0.001316326259315669
0,roughness,sitting,walking,PPT_001,0.8718713431905362,1.0762356401923552e-05
0,roughness,sitting,sitting,PPT_001,1.0,0.0
0,roughness,sitting,hand,PPT_001,0.6887419083151545,0.003172448084215374
0,roughness,hand,walking,PPT_001,0.7302875969651335,0.0013163262593156643
0,roughness,hand,sitting,PPT_001,0.6887419083151545,0.003172448084215374
0,roughness,hand,hand,PPT_001,1.0,0.0
0,roughness,walking,walking,PPT_002,0.9999999999999998,7.135409263138563e-109
0,roughness,walking,sitting,PPT_002,0.8780490203121313,7.746292071316334e-06
0,roughness,walking,hand,PPT_002,0.7973372781065088,0.00021618373076948532
0,roughness,sitting,walking,PPT_002,0.8780490203121313,7.746292071316334e-06
0,roughness,sitting,sitting,PPT_002,1.0,0.0
0,roughness,sitting,hand,PPT_002,0.8137474506428085,0.0001254293150925399
0,roughness,hand,walking,PPT_002,0.7973372781065088,0.00021618373076948532
0,roughness,hand,sitting,PPT_002,0.8137474506428084,0.00012542931509254034
0,roughness,hand,hand,PPT_002,0.9999999999999998,7.135409263138563e-109
0,roughness,walking,walking,PPT_003,0.9999999999999998,7.135409263138563e-109
0,roughness,walking,sitting,PPT_003,0.7046130407053995,0.0023059208935591997
0,roughness,walking,hand,PPT_003,0.7166343624609638,0.0017865289903250057
0,roughness,sitting,walking,PPT_003,0.7046130407053995,0.0023059208935591997
0,roughness,sitting,sitting,PPT_003,1.0,0.0
0,roughness,sitting,hand,PPT_003,0.7605525211053646,0.0006250344931194184
0,roughness,hand,walking,PPT_003,0.7166343624609638,0.0017865289903250057
0,roughness,hand,sitting,PPT_003,0.7605525211053645,0.0006250344931194195
0,roughness,hand,hand,PPT_003,1.0,0.0
0,roughness,walking,walking,PPT_004,1.0,0.0
0,roughness,walking,sitting,PPT_004,0.6797024122347723,0.003772717193764302
0,roughness,walking,hand,PPT_004,0.637033868735453,0.007955002887974736
