,Condition,covariate1,covariate2,r,p
0,walking,roughness,roughness,1.0,0.0
0,walking,roughness,hardness,0.4163597298539862,0.1086740397606543
0,walking,roughness,slipperiness,0.6010324483775811,0.013800260308695215
0,walking,roughness,stability,0.2518412156851042,0.34673632776725316
0,walking,hardness,roughness,0.4163597298539862,0.1086740397606543
0,walking,hardness,hardness,1.0,0.0
0,walking,hardness,slipperiness,0.5637437050235389,0.02294626691087749
0,walking,hardness,stability,0.8668140683709956,1.3915820391954091e-05
0,walking,slipperiness,roughness,0.6010324483775811,0.013800260308695215
0,walking,slipperiness,hardness,0.5637437050235389,0.02294626691087749
0,walking,slipperiness,slipperiness,1.0,0.0
0,walking,slipperiness,stability,0.3593523779366399,0.17162643559673194
0,walking,stability,roughness,0.25184121568510415,0.3467363277672534
0,walking,stability,hardness,0.8668140683709956,1.3915820391954091e-05
0,walking,stability,slipperiness,0.3593523779366399,0.17162643559673194
0,walking,stability,stability,1.0,0.0
0,walking,roughness,roughness,0.9999999999999998,7.135409263138563e-109
0,walking,roughness,hardness,0.41777823624522964,0.10735232970019365
0,walking,roughness,slipperiness,0.665433194873684,0.0049032206701425255
0,walking,roughness,stability,0.173688147957366,0.5200200912729869
0,walking,hardness,roughness,0.4177782362452296,0.10735232970019365
0,walking,hardness,hardness,1.0,0.0
0,walking,hardness,slipperiness,0.43291338803348484,0.0939470317920457
0,walking,hardness,stability,0.16284274049446368,0.5467895925684785
0,walking,slipperiness,roughness,0.665433194873684,0.0049032206701425255
0,walking,slipperiness,hardness,0.43291338803348484,0.0939470317920457
0,walking,slipperiness,slipperiness,1.0,0.0
0,walking,slipperiness,stability,0.14644986438012553,0.5883605429195548
0,walking,stability,roughness,0.173688147957366,0.5200200912729869
0,walking,stability,hardness,0.16284274049446365,0.5467895925684785
0,walking,stability,slipperiness,0.14644986438012553,0.5883605429195548
0,walking,stability,stability,1.0,0.0
0,walking,roughness,roughness,0.9999999999999998,7.135409263138563e-109
0,walking,roughness,hardness,0.3959580838323353,0.12896273065891586
0,walking,roughness,slipperiness,0.059277362642829796,0.8273774345504763
0,walking,roughness,stability,0.37872694746141883,0.14801891537061032
0,walking,hardness,roughness,0.3959580838323353,0.12896273065891586
0,walking,hardness,hardness,0.9999999999999998,7.135409263138563e-109
0,walking,hardness,slipperiness,-0.29182701608777745,0.2727672605939264
0,walking,hardness,stability,0.7269474021017803,0.0014207417478208225
0,walking,slipperiness,roughness,0.0592773626428298,0.8273774345504763
0,walking,slipperiness,hardness,-0.29182701608777745,0.2727672605939264
0,walking,slipperiness,slipperiness,1.0,0.0
0,walking,slipperiness,stability,-0.3248460640066404,0.21959086200726824
0,walking,stability,roughness,0.37872694746141883,0.14801891537061032
0,walking,stability,hardness,0.7269474021017803,0.0014207417478208225
0,walking,stability,slipperiness,-0.3248460640066404,0.21959086200726824
0,walking,stability,stability,0.9999999999999998,7.135409263138563e-109
0,walking,roughness,roughness,1.0,0.0
0,walking,roughness,hardness,0.5845197137784245,0.017409414376368147
0,walking,roughness,slipperiness,0.6584803570083594,0.005544572388274077
0,walking,roughness,stability,0.6647309934630813,0.004965159430529621
0,walking,hardness,roughness,0.5845197137784244,0.017409414376368147
0,walking,hardness,hardness,1.0,0.0
0,walking,hardness,slipperiness,0.18745433397994943,0.4869327996884324
0,walking,hardness,stability,0.48008901777011914,0.059825866812758255
0,walking,slipperiness,roughness,0.6584803570083594,0.005544572388274077
0,walking,slipperiness,hardness,0.18745433397994943,0.4869327996884324
0,walking,slipperiness,slipperiness,0.9999999999999998,7.135409263138563e-109
0,walking,slipperiness,stability,0.5461937929382701,0.028602622325798525
0,walking,stability,roughness,0.6647309934630813,0.004965159430529621
0,walking,stability,hardness,0.4800890177701191,0.059825866812758255
0,walking,stability,slipperiness,0.5461937929382701,0.028602622325798525
0,walking,stability,stability,1.0,0.0
0,walking,roughness,roughness,0.9999999999999998,7.135409263138563e-109
0,walking,roughness,hardness,0.3239860339259756,0.22088503282233835
0,walking,roughness,slipperiness,0.5852412867956689,0.01723779974174364
0,walking,roughness,stability,-0.008856110266769265,0.9740324922760465
0,walking,hardness,roughness,0.3239860339259755,0.22088503282233837
0,walking,hardness,hardness,1.0,0.0
0,walking,hardness,slipperiness,-0.2047128129602356,0.4469335265890878
0,walking,hardness,stability,-0.117820324005891,0.6638737801198025
0,walking,slipperiness,roughness,0.5852412867956689,0.01723779974174364
0,walking,slipperiness,hardness,-0.2047128129602356,0.4469335265890878
0,walking,slipperiness,slipperiness,1.0,0.0
0,walking,slipperiness,stability,0.16200294550810015,0.5488873839641504
0,walking,stability,roughness,-0.008856110266769265,0.9740324922760465
0,walking,stability,hardness,-0.117820324005891,0.6638737801198025
0,walking,stability,slipperiness,0.16200294550810015,0.5488873839641504
0,walking,stability,stability,1.0,0.0
0,walking,roughness,roughness,1.0,0.0
0,walking,roughness,hardness,0.32544521132805004,0.21869212828373957
0,walking,roughness,slipperiness,0.7616599089491051,0.0006070248288997179
0,walking,roughness,stability,-0.5775799661432582,0.019128554432387618
0,walking,hardness,roughness,0.32544521132805004,0.21869212828373957
0,walking,hardness,hardness,1.0,0.0
0,walking,hardness,slipperiness,0.2346864107750283,0.38162325594182933
0,walking,hardness,stability,-0.055514813950655634,0.8381951647364931
0,walking,slipperiness,roughness,0.761659908949105,0.0006070248288997179
0,walking,slipperiness,hardness,0.2346864107750283,0.38162325594182933
0,walking,slipperiness,slipperiness,1.0,0.0
0,walking,slipperiness,stability,-0.3377792604883483,0.20071139500978039
0,walking,stability,roughness,-0.5775799661432582,0.019128554432387618
0,walking,stability,hardness,-0.05551481395065564,0.8381951647364931
0,walking,stability,slipperiness,-0.3377792604883483,0.20071139500978039
0,walking,stability,stability,1.0,0.0
0,walking,roughness,roughness,1.0,0.0
0,walking,roughness,hardness,0.2928517012764818,0.27100911233542085
0,walking,roughness,slipperiness,0.8589638346104477,2.0330386217871686e-05
0,walking,roughness,stability,0.3080442411739753,0.24575318357678047
0,walking,hardness,roughness,0.2928517012764818,0.27100911233542085
0,walking,hardness,hardness,1.0,0.0
0,walking,hardness,slipperiness,0.44732986920959433,0.08232852522831684
0,walking,hardness,stability,0.5576929178919933,0.02478922129131742
0,walking,slipperiness,roughness,0.8589638346104477,2.0330386217871686e-05
