,Metric,covariate1,covariate2,r,p
0,roughness,walking,walking,1.0,0.0
0,roughness,walking,sitting,0.8294117647058824,7.088454064639912e-05
0,roughness,walking,hand,0.9,2.0510898633789e-06
0,roughness,sitting,walking,0.8294117647058824,7.088454064639912e-05
0,roughness,sitting,sitting,1.0,0.0
0,roughness,sitting,hand,0.9470588235294116,2.715731165956679e-08
0,roughness,hand,walking,0.9,2.0510898633789e-06
0,roughness,hand,sitting,0.9470588235294116,2.715731165956679e-08
0,roughness,hand,hand,1.0,0.0
0,hardness,walking,walking,1.0,0.0
0,hardness,walking,sitting,0.9676470588235294,9.132894807195552e-10
0,hardness,walking,hand,0.9735294117647059,2.276897655666222e-10
0,hardness,sitting,walking,0.9676470588235294,9.132894807195552e-10
0,hardness,sitting,sitting,1.0,0.0
0,hardness,sitting,hand,0.9970588235294118,5.0655883449921147e-17
0,hardness,hand,walking,0.9735294117647059,2.276897655666222e-10
0,hardness,hand,sitting,0.9970588235294118,5.0655883449921147e-17
0,hardness,hand,hand,1.0,0.0
0,slipperiness,walking,walking,1.0,0.0
0,slipperiness,walking,sitting,0.7647058823529411,0.0005596762943567445
0,slipperiness,walking,hand,0.8470588235294119,3.4680464849150824e-05
0,slipperiness,sitting,walking,0.7647058823529411,0.0005596762943567445
0,slipperiness,sitting,sitting,1.0,0.0
0,slipperiness,sitting,hand,0.8176470588235294,0.00010936308081986549
0,slipperiness,hand,walking,0.8470588235294119,3.4680464849150824e-05
0,slipperiness,hand,sitting,0.8176470588235294,0.00010936308081986549
0,slipperiness,hand,hand,1.0,0.0
