,Metric,Texture number,Texture name,Comparison,W,p,Texture
0,roughness,1.0,Door mat,hand-sitting,82.0,0.6225624084472656,
1,roughness,1.0,Door mat,hand-walking,7.0,7.2479248046875e-05,
2,roughness,1.0,Door mat,sitting-walking,1.0,7.62939453125e-06,
3,roughness,2.0,Rug 1,hand-sitting,67.0,0.2753410339355469,
4,roughness,2.0,Rug 1,hand-walking,11.0,0.000209808349609375,
5,roughness,2.0,Rug 1,sitting-walking,38.0,0.020412445068359375,
6,roughness,3.0,Towel,hand-sitting,52.0,0.08742904663085938,
7,roughness,3.0,Towel,hand-walking,5.0,3.814697265625e-05,
8,roughness,3.0,Towel,sitting-walking,17.0,0.000789642333984375,
9,roughness,4.0,Rug 2,hand-sitting,86.0,0.7380905151367188,
10,roughness,4.0,Rug 2,hand-walking,63.0,0.21011734008789062,
11,roughness,4.0,Rug 2,sitting-walking,60.0,0.168792724609375,
12,roughness,5.0,Cork pad,hand-sitting,60.0,0.168792724609375,
13,roughness,5.0,Cork pad,hand-walking,19.0,0.001171112060546875,
14,roughness,5.0,Cork pad,sitting-walking,14.0,0.00041961669921875,
15,roughness,6.0,Plastic place mat,hand-sitting,80.0,0.5677604675292969,
16,roughness,6.0,Plastic place mat,hand-walking,51.0,0.07987594604492188,
17,roughness,6.0,Plastic place mat,sitting-walking,73.0,0.3954620361328125,
18,roughness,7.0,Chair pad,hand-sitting,38.0,0.020412445068359375,
19,roughness,7.0,Chair pad,hand-walking,93.0,0.9529838562011719,
20,roughness,7.0,Chair pad,sitting-walking,54.0,0.104156494140625,
21,roughness,8.0,Bath mat,hand-sitting,59.0,0.156402587890625,
22,roughness,8.0,Bath mat,hand-walking,21.0,0.0016937255859375,
23,roughness,8.0,Bath mat,sitting-walking,33.0,0.01082611083984375,
24,roughness,9.0,Astro turf,hand-sitting,81.0,0.5948867797851562,
25,roughness,9.0,Astro turf,hand-walking,32.0,0.00945281982421875,
26,roughness,9.0,Astro turf,sitting-walking,22.0,0.00202178955078125,
27,roughness,10.0,Plastic desk mat,hand-sitting,77.0,0.48996734619140625,
28,roughness,10.0,Plastic desk mat,hand-walking,48.0,0.060207366943359375,
29,roughness,10.0,Plastic desk mat,sitting-walking,70.0,0.3320655822753906,
30,roughness,11.0,Garden deck tile,hand-sitting,83.0,0.6507492065429688,
31,roughness,11.0,Garden deck tile,hand-walking,60.0,0.168792724609375,
32,roughness,11.0,Garden deck tile,sitting-walking,52.0,0.08742904663085938,
33,roughness,12.0,Tile,hand-sitting,38.0,0.020412445068359375,
34,roughness,12.0,Tile,hand-walking,42.0,0.03234100341796875,
35,roughness,12.0,Tile,sitting-walking,21.0,0.0016937255859375,
36,roughness,13.0,Crash mat,hand-sitting,85.0,0.70855712890625,
37,roughness,13.0,Crash mat,hand-walking,86.0,0.7380905151367188,
38,roughness,13.0,Crash mat,sitting-walking,89.0,0.8287849426269531,
39,roughness,14.0,Firm foam pad,hand-sitting,81.0,0.5948867797851562,
40,roughness,14.0,Firm foam pad,hand-walking,75.0,0.4413337707519531,
41,roughness,14.0,Firm foam pad,sitting-walking,61.0,0.18186569213867188,
42,roughness,15.0,Gel pad,hand-sitting,68.0,0.2934989929199219,
43,roughness,15.0,Gel pad,hand-walking,94.0,0.9843215942382812,
44,roughness,15.0,Gel pad,sitting-walking,62.0,0.1956329345703125,
45,roughness,16.0,Throw,hand-sitting,79.0,0.5412178039550781,
46,roughness,16.0,Throw,hand-walking,61.0,0.18186569213867188,
