,Metric,Texture number,Texture name,Comparison,W,p,Texture
0,roughness,1.0,Door mat,hand-sitting,4.5,0.08604039578456761,
1,roughness,1.0,Door mat,hand-walking,3.0,0.4496917979688909,
2,roughness,1.0,Door mat,sitting-walking,11.0,0.30464192203660967,
3,roughness,2.0,Rug 1,hand-sitting,69.0,0.312408447265625,
4,roughness,2.0,Rug 1,hand-walking,73.5,0.6005146243423352,
5,roughness,2.0,Rug 1,sitting-walking,81.0,0.8438037213515447,
6,roughness,3.0,Towel,hand-sitting,49.5,0.07283401489257812,
7,roughness,3.0,Towel,hand-walking,24.5,0.007769140688463945,
8,roughness,3.0,Towel,sitting-walking,63.5,0.5373232004399325,
9,roughness,4.0,Rug 2,hand-sitting,45.5,0.4096312672235325,
10,roughness,4.0,Rug 2,hand-walking,80.5,0.5677604675292969,
11,roughness,4.0,Rug 2,sitting-walking,80.5,0.8274008526013115,
12,roughness,5.0,Cork pad,hand-sitting,69.0,0.47171540561984837,
13,roughness,5.0,Cork pad,hand-walking,23.5,0.002838134765625,
14,roughness,5.0,Cork pad,sitting-walking,36.5,0.0180816650390625,
15,roughness,6.0,Plastic place mat,hand-sitting,79.0,0.7766013420196393,
16,roughness,6.0,Plastic place mat,hand-walking,65.5,0.6015934671076849,
17,roughness,6.0,Plastic place mat,sitting-walking,55.0,0.3080411428766727,
18,roughness,7.0,Chair pad,hand-sitting,32.5,0.020686348174753465,
19,roughness,7.0,Chair pad,hand-walking,68.0,0.4445746684517363,
20,roughness,7.0,Chair pad,sitting-walking,51.5,0.23590670250259949,
21,roughness,8.0,Bath mat,hand-sitting,27.5,0.3651348400477097,
22,roughness,8.0,Bath mat,hand-walking,47.5,0.7511669690794196,
23,roughness,8.0,Bath mat,sitting-walking,47.0,0.726105036652652,
24,roughness,9.0,Astro turf,hand-sitting,35.5,0.28217630513358793,
25,roughness,9.0,Astro turf,hand-walking,43.0,0.5420347043827921,
26,roughness,9.0,Astro turf,sitting-walking,28.0,0.06684864664390193,
27,roughness,10.0,Plastic desk mat,hand-sitting,56.5,0.5507421948713662,
